"Sector(s):","Total Bilateral Aid To All Sectors","","Flow(s):","ODA","","Donor(s):","All Donors, Total","","Flow Type(s):","Net Disbursements","","Amount:","Current Prices (USD millions)","",

"","Time Period","1960","1961","1962","1963","1964","1965","1966","1967","1968","1969","1970","1971","1972","1973","1974","1975","1976","1977","1978","1979","1980","1981","1982","1983","1984","1985","1986","1987","1988","1989","1990","1991","1992","1993","1994","1995","1996","1997","1998","1999","2000","2001","2002","2003","2004","2005","2006","2007","2008","2009","2010","2011","2012","2013","2014","2015","2016",
"Recipient(s)",
"Cayman Islands","","..","..","..","..","..","..","..","..","..","..","..","..","..","..","1.68","1.59","2.1","1.49","3.24","0.74","1.49","0.99","0.57","0.38","0.35","0.07","1.97","2.19","12.09","1.23","2.99","-0.29","0","-0.46","-1.02","-0.57","-2.03","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..",".."
"Central African Republic","","0.03","0.42","1.14","1.98","16.79","15.78","15.66","20.57","17.29","19.81","14.38","15.55","25.65","25.6","36.58","54.75","38.69","44.89","50.95","83.36","110.12","101.2","89.46","92.36","131.69","103.85","135.14","180.01","204.69","188.76","248.89","173.44","177.65","171.74","167.56","167.78","169.13","91.55","120.62","118.76","75.9","76.21","60.01","51.5","110.06","88.97","133.59","180.01","260.37","241.14","260.98","268.77","228.02","202.82","611","486.73","499.66"
"Chad","","0.03","3.26","5.52","5.56","16.55","18.27","19.01","19.83","21.72","23.75","22.35","30.41","30.79","45.28","78.48","66.73","60.88","81.6","123.15","84.74","34.99","59.56","64.15","87.43","111.41","179.05","160.31","201.79","260.69","250.57","310.58","262.31","236.7","223.47","212.29","235.02","295.78","227.96","174.44","187.93","131.33","188.6","229.25","251.99","332.08","386.44","290.73","367.98","441.81","558.33","490.16","457.66","475.13","459.34","391.93","606.65","624.46"
"Chile","","13.01","117.04","132.88","141.89","131.96","112.85","135.08","102.3","84.86","95.15","72.36","47.9","49.7","48.73","23.6","126.91","7.3","10.6","7.16","-27.89","-10.55","-7.25","-8.84","0.1","2.25","40.01","-5.15","21.31","44.33","61.69","103.54","120.86","131.29","173.97","150.42","156.89","195.7","129.38","106.45","70.02","48.97","59.02","-6.69","80.48","54.4","170.41","99.24","108.68","106.45","79.19","188.54","167.42","128.08","80.56","245.58","54.33","178.37"
"China (People's Republic of)","","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","16.85","65.5","475.9","523.38","668.8","797.48","938.75","1095.22","1377.94","1919.06","2070.83","2032.37","1932.58","3002.03","3218.68","3149.01","3481.07","2655.9","2060.83","2456.88","2407","1749.02","1497.66","1511.52","1361.55","1710.58","1799.29","1272.25","1457.52","1317.73","1153.98","671.89","-602.94","-180.53","-656.55","-947.07","-332.27","-791.08"
"Chinese Taipei","","103.48","113.58","78.55","77.23","51.79","57.75","66.27","56.31","56.64","20.33","9.57","9.74","5.81","-26.02","-17.8","-19.76","-20.78","16.7","6.37","3.7","-3.56","7.76","-6.37","8.17","5.41","-9.74","-10.11","-8.5","-6.9","2.12","36.34","3.48","5.93","7.41","6.24","0.22","15.78","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..",".."
"Colombia","","-11.43","45.5","46.59","74.74","54.6","36.94","92.83","108.88","191.82","120.81","159.89","129.77","119.58","147.23","106.44","82.51","75.1","48.31","70.67","53.73","89.82","101.23","95.94","85.43","87.6","61.08","62.92","77.45","62.5","67.38","88.54","113.39","232.84","84.64","75.57","170.13","188.06","194.17","167.16","302.08","186.65","383.88","442.46","803.19","519.41","625.02","989.8","726.84","976.42","1054.99","673.83","1017.69","764.25","857.49","1224.17","1355.86","1106.67"
"Comoros","","..","..","..","..","..","..","6.1","9.7","7.85","6.36","7.89","8.82","10.21","17.62","27.34","21.56","25.26","12.09","13.44","19.58","43.25","46.37","38.07","37.63","42.68","47.13","45.93","54.07","51.22","44.07","44.88","63.3","47.87","48.62","38.7","41.6","39.2","30.2","40.62","22.09","19.31","27.67","27.58","24.61","25.88","23.14","32","45.05","42.04","50.78","69.91","55.35","101.61","81.23","74.95","65.78","54.61"
"Congo","","0.02","0.19","3.07","5.65","17.76","15.85","25.18","18.8","21.37","17.17","15.39","17.17","23.1","26.62","37.82","55.93","72.64","48.13","80.26","90.15","91.15","80.44","91.94","107.35","96.52","69.02","107.23","137.53","86.6","90.52","217.16","133.27","115","124.36","363.85","126.86","431.29","268.67","64.99","140.54","32.15","73.89","57.13","69.28","115.81","1425.55","258.3","116.32","486.63","283.97","1315.09","261.24","140.13","150.99","106.18","88.8","87.84"
"Cook Islands","","..","..","..","..","..","..","..","..","..","..","..","..","3.72","4.25","5.75","5.62","6.68","7.49","6.95","7.75","10.66","10.45","10.36","9.29","8.05","9.7","26.42","11.05","11.92","12.52","12.14","13.28","17.07","12.51","14.24","13.04","11.27","10.05","8.08","6.02","4.38","4.87","3.77","5.86","8.92","7.88","32.34","9.31","5.72","5.59","13.54","27.31","20.99","15.88","28.11","25.64","22.15"
